Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL
milliseconds	m/(s^2) *	m/(s^2) *	m/(s^2) *	degrees/s *	degrees/s *	degrees/s *	local flux *	local flux *	local flux *	normalised quaternion	normalised quaternion	normalised quaternion	normalised quaternion
7680421.752929688	0.2574257425742574	-13.17821782178218	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3656.776556776556	-0.2672413793103448	-6.839655172413793	-2.544827586206897	-0.4035338368061999	0.6605722037652186	-0.4220996673514016	0.4718439116774381
8192351.440429688	-6.079207920792079	-15.71287128712871	-17.66336633663366	-468.4981684981685	-827.106227106227	-4782.051282051281	-0.2586206896551724	-6.83103448275862	-2.568965517241379	-0.02104486010512097	0.8514689389516797	0.09859517659946952	0.514622921190823
8192453.002929688	-12.41584158415842	-10.64356435643564	17.82178217821782	-468.4981684981685	-827.106227106227	-3844.322344322344	-0.25	-6.827586206896552	-2.537931034482758	0.3318361421131039	0.7118439591900165	0.5144701795124329	0.3442141585475805
8704273.315429688	-18.75247524752475	-13.17821782178218	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3844.322344322344	-0.2724137931034483	-6.83103448275862	-2.555172413793104	0.570375825539932	0.3253078175972235	0.7525017981327751	0.05086536401828407
8704296.752929688	15.46534653465346	-5.574257425742575	-20.1980198019802	-468.4981684981685	-827.106227106227	-3844.322344322344	-0.2862068965517242	-6.820689655172414	-2.553448275862069	0.6064713158618572	-0.1735351043536544	0.7323324008591442	-0.2564514871191737
9216265.502929688	9.128712871287128	-13.17821782178218	-20.1980198019802	-468.4981684981685	-826.7399267399267	-3844.322344322344	-0.2844827586206897	-6.824137931034483	-2.560344827586207	0.4306049197034439	-0.6152295021172189	0.4602778784120148	-0.4735148756864181
9216335.815429688	2.792079207920792	-13.17821782178218	-15.12871287128713	-468.4981684981685	-827.4725274725274	-4500.7326007326	-0.2827586206896552	-6.824137931034483	-2.556896551724138	0.06485583735001484	-0.8438718420798047	-0.02213733126205463	-0.5321503293911032
9216335.815429688	-3.544554455445545	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.4725274725274	-4875.824175824176	-0.2844827586206897	-6.834482758620689	-2.563793103448276	-0.3411567556023368	-0.6950020667558933	-0.5255007144129933	-0.3527508957654932
9728265.502929688	-9.881188118811881	-13.17821782178218	-15.12871287128713	-468.4981684981685	-827.106227106227	-3750.54945054945	-0.2706896551724138	-6.834482758620689	-2.541379310344828	-0.581813586308373	-0.3155070695492335	-0.7471590301769421	-0.06084096873403728
9728265.502929688	-16.21782178217822	-8.10891089108911	-20.1980198019802	-468.4981684981685	-827.4725274725274	-4031.868131868132	-0.293103448275862	-6.820689655172414	-2.555172413793104	-0.6109053616065963	0.1973448360563924	-0.7185228943517652	0.2675341195708532
